device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,algorithm,n_estimators,max_depth,algorithm_value,duration,correct
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.3,1.036557912826538,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.4,1.0006139278411865,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.5,0.9855728149414062,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.6,0.9748659133911133,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.7,1.0050222873687744,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.8,0.9940700531005859,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.9,0.9854199886322021,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,1,0.9833400249481201,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,2,0.9702179431915283,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,3,0.9536111354827881,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,4,0.9853990077972412,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,5,0.9724740982055664,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,6,0.9630708694458008,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,7,0.9554460048675537,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,8,0.9523320198059082,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,9,0.9671690464019775,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,10,0.9543678760528564,True
esp_32_302,244,WH_C_401,12,WH_C_403,0.46,-1,all,-100,0,-100,none,random_forest,50,9,sqrt,0.9605598449707031,False
esp_32_302,244,WH_C_401,12,WH_C_401,0.38,-1,all,-100,0,-100,none,random_forest,50,9,log2,0.9575951099395752,True
esp_32_302,244,WH_C_401,12,WH_C_403,0.46,-1,all,-100,0,-100,none,random_forest,50,9,None,0.9819850921630859,False
esp_32_302,244,WH_C_401,12,WH_C_401,0.36,-1,all,-100,0,-100,none,random_forest,50,9,0.1,0.9811251163482666,True
esp_32_302,244,WH_C_401,12,WH_C_403,0.46,-1,all,-100,0,-100,none,random_forest,50,9,0.2,0.9906611442565918,False
esp_32_302,244,WH_C_401,12,WH_C_403,0.38,-1,all,-100,0,-100,none,random_forest,50,9,0.3,0.9778213500976562,False
esp_32_302,244,WH_C_401,12,WH_C_403,0.38,-1,all,-100,0,-100,none,random_forest,50,9,0.4,0.9632968902587891,False
esp_32_302,244,WH_C_401,12,WH_C_403,0.38,-1,all,-100,0,-100,none,random_forest,50,9,0.5,0.9544157981872559,False
esp_32_302,244,WH_C_401,12,WH_C_401,0.44,-1,all,-100,0,-100,none,random_forest,50,9,0.6,0.9618730545043945,True
esp_32_302,244,WH_C_401,12,WH_C_401,0.38,-1,all,-100,0,-100,none,random_forest,50,9,0.7,0.9548952579498291,True
esp_32_302,244,WH_C_401,12,WH_C_401,0.4,-1,all,-100,0,-100,none,random_forest,50,9,0.8,0.9580240249633789,True
esp_32_302,244,WH_C_401,12,WH_C_401,0.42,-1,all,-100,0,-100,none,random_forest,50,9,0.9,0.9584128856658936,True
esp_32_302,244,WH_C_401,12,WH_C_403,0.4,-1,all,-100,0,-100,none,random_forest,50,9,1,0.9551758766174316,False
esp_32_302,244,WH_C_401,12,WH_C_401,0.38,-1,all,-100,0,-100,none,random_forest,50,9,2,0.9507620334625244,True
esp_32_302,244,WH_C_401,12,WH_C_403,0.44,-1,all,-100,0,-100,none,random_forest,50,9,3,0.9835426807403564,False
esp_32_302,244,WH_C_401,12,WH_C_401,0.34,-1,all,-100,0,-100,none,random_forest,50,9,4,0.988839864730835,True
esp_32_302,244,WH_C_401,12,WH_C_403,0.36,-1,all,-100,0,-100,none,random_forest,50,9,5,0.9583530426025391,False
esp_32_302,244,WH_C_401,12,WH_C_401,0.4,-1,all,-100,0,-100,none,random_forest,50,9,6,0.9521381855010986,True
esp_32_302,244,WH_C_401,12,WH_C_401,0.34,-1,all,-100,0,-100,none,random_forest,50,9,7,0.9572451114654541,True
