device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,gamma_value,algorithm,algorithm_value,duration,correct
esp_32_302,421,WH_C_444,21,WH_C_444,0.9233333333333333,-1,all,-100,0,-100,none,1,random_forest,17,1.0610768795013428,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.9466666666666667,-1,all,-100,0,-100,none,1,random_forest,19,1.0647509098052979,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.9133333333333333,-1,all,-100,0,-100,none,1,random_forest,21,1.0887699127197266,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.92,-1,all,-100,0,-100,none,1,random_forest,None,1.0611979961395264,True
esp_32_007,124,WH_C_351,5,WH_C_350,0.11070689029131554,-1,all,-100,0,-100,none,1,random_forest,1,1.0822758674621582,False
esp_32_007,124,WH_C_351,5,WH_C_351,0.24466471633467587,-1,all,-100,0,-100,none,1,random_forest,3,1.0838327407836914,True
esp_32_007,124,WH_C_351,5,WH_C_351,0.5533162450439932,-1,all,-100,0,-100,none,1,random_forest,5,1.1035280227661133,True
esp_32_007,124,WH_C_351,5,WH_C_351,0.6940767961144106,-1,all,-100,0,-100,none,1,random_forest,7,1.1165409088134766,True
esp_32_007,124,WH_C_351,5,WH_C_351,0.7327777777777778,-1,all,-100,0,-100,none,1,random_forest,9,1.084120750427246,True
esp_32_007,124,WH_C_351,5,WH_C_351,0.7266666666666667,-1,all,-100,0,-100,none,1,random_forest,11,1.0834836959838867,True
esp_32_007,124,WH_C_351,5,WH_C_351,0.74,-1,all,-100,0,-100,none,1,random_forest,13,1.0869548320770264,True
esp_32_007,124,WH_C_351,5,WH_C_351,0.7733333333333333,-1,all,-100,0,-100,none,1,random_forest,15,1.0795059204101562,True
esp_32_007,124,WH_C_351,5,WH_C_351,0.74,-1,all,-100,0,-100,none,1,random_forest,17,1.0998539924621582,True
esp_32_007,124,WH_C_351,5,WH_C_351,0.72,-1,all,-100,0,-100,none,1,random_forest,19,1.081991195678711,True
esp_32_007,124,WH_C_351,5,WH_C_351,0.8166666666666667,-1,all,-100,0,-100,none,1,random_forest,21,1.081820011138916,True
esp_32_007,124,WH_C_351,5,WH_C_351,0.7133333333333334,-1,all,-100,0,-100,none,1,random_forest,None,1.0809261798858643,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,232,WH_C_401,12,WH_C_606,0.34793234863173195,-1,all,-100,0,-100,none,1,random_forest,1,1.0821497440338135,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,232,WH_C_401,12,WH_C_401,0.3509088800726731,-1,all,-100,0,-100,none,1,random_forest,3,1.0731158256530762,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,232,WH_C_401,12,WH_C_401,0.40111111111111114,-1,all,-100,0,-100,none,1,random_forest,5,1.0854718685150146,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,232,WH_C_401,12,WH_C_401,0.3933333333333333,-1,all,-100,0,-100,none,1,random_forest,7,1.1100561618804932,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,232,WH_C_401,12,WH_C_401,0.41333333333333333,-1,all,-100,0,-100,none,1,random_forest,9,1.0808429718017578,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,232,WH_C_401,12,WH_C_401,0.38333333333333336,-1,all,-100,0,-100,none,1,random_forest,11,1.0806968212127686,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,232,WH_C_401,12,WH_C_401,0.38666666666666666,-1,all,-100,0,-100,none,1,random_forest,13,1.0681939125061035,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,232,WH_C_401,12,WH_C_401,0.39,-1,all,-100,0,-100,none,1,random_forest,15,1.0760960578918457,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,232,WH_C_401,12,WH_C_401,0.37666666666666665,-1,all,-100,0,-100,none,1,random_forest,17,1.0691699981689453,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,232,WH_C_401,12,WH_C_401,0.44,-1,all,-100,0,-100,none,1,random_forest,19,1.0830857753753662,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,232,WH_C_401,12,WH_C_401,0.39666666666666667,-1,all,-100,0,-100,none,1,random_forest,21,1.1016950607299805,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,232,WH_C_401,12,WH_C_401,0.38666666666666666,-1,all,-100,0,-100,none,1,random_forest,None,1.078549861907959,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,278,WH_C_402,13,WH_C_401,0.3444915812471216,-1,all,-100,0,-100,none,1,random_forest,1,1.0652670860290527,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,278,WH_C_402,13,WH_C_402,0.5377521286517926,-1,all,-100,0,-100,none,1,random_forest,3,1.0898888111114502,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,278,WH_C_402,13,WH_C_402,0.5599841269841269,-1,all,-100,0,-100,none,1,random_forest,5,1.0958020687103271,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,278,WH_C_402,13,WH_C_402,0.5566666666666666,-1,all,-100,0,-100,none,1,random_forest,7,1.0803017616271973,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,278,WH_C_402,13,WH_C_402,0.5266666666666666,-1,all,-100,0,-100,none,1,random_forest,9,1.0690407752990723,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,278,WH_C_402,13,WH_C_402,0.5633333333333334,-1,all,-100,0,-100,none,1,random_forest,11,1.0741429328918457,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,278,WH_C_402,13,WH_C_402,0.6033333333333334,-1,all,-100,0,-100,none,1,random_forest,13,1.0840249061584473,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,278,WH_C_402,13,WH_C_402,0.5733333333333334,-1,all,-100,0,-100,none,1,random_forest,15,1.0834529399871826,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,278,WH_C_402,13,WH_C_402,0.5733333333333334,-1,all,-100,0,-100,none,1,random_forest,17,1.0729799270629883,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,278,WH_C_402,13,WH_C_402,0.5633333333333334,-1,all,-100,0,-100,none,1,random_forest,19,1.0828750133514404,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,278,WH_C_402,13,WH_C_402,0.5466666666666666,-1,all,-100,0,-100,none,1,random_forest,21,1.0755980014801025,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,278,WH_C_402,13,WH_C_402,0.5633333333333334,-1,all,-100,0,-100,none,1,random_forest,None,1.0927331447601318,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,662,WH_C_638,34,WH_C_635,0.10342295865772229,-1,all,-100,0,-100,none,1,random_forest,1,1.06850266456604,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,662,WH_C_638,34,WH_C_640,0.16552861954895765,-1,all,-100,0,-100,none,1,random_forest,3,1.0874738693237305,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,662,WH_C_638,34,WH_C_638,0.19755960155600466,-1,all,-100,0,-100,none,1,random_forest,5,1.0913746356964111,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,662,WH_C_638,34,WH_C_638,0.24656409467438886,-1,all,-100,0,-100,none,1,random_forest,7,1.0770089626312256,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,662,WH_C_638,34,WH_C_638,0.24777777777777776,-1,all,-100,0,-100,none,1,random_forest,9,1.1494107246398926,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,662,WH_C_638,34,WH_C_638,0.21333333333333335,-1,all,-100,0,-100,none,1,random_forest,11,1.0957598686218262,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,662,WH_C_638,34,WH_C_638,0.24,-1,all,-100,0,-100,none,1,random_forest,13,1.0779571533203125,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,662,WH_C_638,34,WH_C_635,0.21333333333333335,-1,all,-100,0,-100,none,1,random_forest,15,1.1116437911987305,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,662,WH_C_638,34,WH_C_638,0.23666666666666666,-1,all,-100,0,-100,none,1,random_forest,17,1.133267879486084,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,662,WH_C_638,34,WH_C_638,0.24,-1,all,-100,0,-100,none,1,random_forest,19,1.0896661281585693,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,662,WH_C_638,34,WH_C_638,0.24666666666666667,-1,all,-100,0,-100,none,1,random_forest,21,1.1011021137237549,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,662,WH_C_638,34,WH_C_635,0.24666666666666667,-1,all,-100,0,-100,none,1,random_forest,None,1.0825421810150146,False
esp_32_208,470,WH_C_446,23,WH_C_335,0.24978162951863975,-1,all,-100,0,-100,none,1,random_forest,1,1.072439193725586,False
esp_32_208,470,WH_C_446,23,WH_C_446,0.5968142052788846,-1,all,-100,0,-100,none,1,random_forest,3,1.1005258560180664,True
esp_32_208,470,WH_C_446,23,WH_C_446,0.7569785492285491,-1,all,-100,0,-100,none,1,random_forest,5,1.1105060577392578,True
esp_32_208,470,WH_C_446,23,WH_C_446,0.77,-1,all,-100,0,-100,none,1,random_forest,7,1.0824668407440186,True
esp_32_208,470,WH_C_446,23,WH_C_446,0.76,-1,all,-100,0,-100,none,1,random_forest,9,1.072756052017212,True
