device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,gamma_value,algorithm,algorithm_value,duration,correct
esp_32_107,327,WH_C_406,17,WH_C_456,0.8041676818643788,all,-100,0,-100,none,scale,svm_rbf,0.001,0.9641952514648438,False
esp_32_107,327,WH_C_406,17,WH_C_458,0.8263508876094056,all,-100,0,-100,none,auto,svm_rbf,0.001,0.9782650470733643,False
esp_32_107,327,WH_C_406,17,WH_C_457,0.8203800457360896,all,-100,0,-100,none,scale,svm_rbf,0.01,0.9621572494506836,False
esp_32_107,327,WH_C_406,17,WH_C_456,0.8234488947433444,all,-100,0,-100,none,auto,svm_rbf,0.01,1.0074741840362549,False
esp_32_107,327,WH_C_406,17,WH_C_456,0.7944222682800106,all,-100,0,-100,none,scale,svm_rbf,0.1,1.0340402126312256,False
esp_32_107,327,WH_C_406,17,WH_C_457,0.8282804231271214,all,-100,0,-100,none,auto,svm_rbf,0.1,0.9974501132965088,False
esp_32_107,327,WH_C_406,17,WH_C_456,0.7915044778738929,all,-100,0,-100,none,scale,svm_rbf,1,1.0087549686431885,False
esp_32_107,327,WH_C_406,17,WH_C_456,0.8054036428411602,all,-100,0,-100,none,auto,svm_rbf,1,0.9844341278076172,False
esp_32_107,327,WH_C_406,17,WH_C_457,0.7402843712363845,all,-100,0,-100,none,scale,svm_rbf,10,0.9922280311584473,False
esp_32_107,327,WH_C_406,17,WH_C_456,0.8032119290396016,all,-100,0,-100,none,auto,svm_rbf,10,0.9959328174591064,False
esp_32_107,327,WH_C_406,17,WH_C_457,0.708315108642624,all,-100,0,-100,none,scale,svm_rbf,100,0.9908881187438965,False
esp_32_107,327,WH_C_406,17,WH_C_456,0.784402088064706,all,-100,0,-100,none,auto,svm_rbf,100,1.0035350322723389,False
esp_32_107,327,WH_C_406,17,WH_C_457,0.7279639765483408,all,-100,0,-100,none,scale,svm_rbf,1000,0.9713728427886963,False
esp_32_107,327,WH_C_406,17,WH_C_456,0.8093740139607841,all,-100,0,-100,none,auto,svm_rbf,1000,0.9861340522766113,False
esp_32_005,618,WH_C_625,32,WH_C_625,0.7805905671104083,all,-100,0,-100,none,scale,svm_rbf,0.001,0.9544980525970459,True
esp_32_005,618,WH_C_625,32,WH_C_414,0.8213088562420121,all,-100,0,-100,none,auto,svm_rbf,0.001,0.9626197814941406,False
esp_32_005,618,WH_C_625,32,WH_C_638,0.7667909971429363,all,-100,0,-100,none,scale,svm_rbf,0.01,0.9708511829376221,False
esp_32_005,618,WH_C_625,32,WH_C_414,0.8219884004438448,all,-100,0,-100,none,auto,svm_rbf,0.01,0.9530990123748779,False
esp_32_005,618,WH_C_625,32,WH_C_625,0.61902296666413,all,-100,0,-100,none,scale,svm_rbf,0.1,0.9914941787719727,True
esp_32_005,618,WH_C_625,32,WH_C_414,0.79699497788589,all,-100,0,-100,none,auto,svm_rbf,0.1,0.9996249675750732,False
esp_32_005,618,WH_C_625,32,WH_C_625,0.5515752505889611,all,-100,0,-100,none,scale,svm_rbf,1,0.9961919784545898,True
esp_32_005,618,WH_C_625,32,WH_C_625,0.7883626739246311,all,-100,0,-100,none,auto,svm_rbf,1,0.9954009056091309,True
esp_32_005,618,WH_C_625,32,WH_C_625,0.520666705019019,all,-100,0,-100,none,scale,svm_rbf,10,0.9836819171905518,True
esp_32_005,618,WH_C_625,32,WH_C_625,0.7888807806023606,all,-100,0,-100,none,auto,svm_rbf,10,0.980846643447876,True
esp_32_005,618,WH_C_625,32,WH_C_625,0.5250318547926618,all,-100,0,-100,none,scale,svm_rbf,100,1.017604112625122,True
esp_32_005,618,WH_C_625,32,WH_C_625,0.7673240341006943,all,-100,0,-100,none,auto,svm_rbf,100,0.9929909706115723,True
esp_32_005,618,WH_C_625,32,WH_C_625,0.548557540122232,all,-100,0,-100,none,scale,svm_rbf,1000,0.9887208938598633,True
esp_32_005,618,WH_C_625,32,WH_C_625,0.7846241679249961,all,-100,0,-100,none,auto,svm_rbf,1000,1.0057971477508545,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_350,0.8760073298536845,all,-100,0,-100,none,scale,svm_rbf,0.001,0.9977500438690186,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_445,0.8896659129198201,all,-100,0,-100,none,auto,svm_rbf,0.001,0.9729781150817871,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_445,0.8922513750668003,all,-100,0,-100,none,scale,svm_rbf,0.01,0.9847638607025146,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_335,0.8709159838145878,all,-100,0,-100,none,auto,svm_rbf,0.01,0.9730918407440186,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_445,0.8450822634092667,all,-100,0,-100,none,scale,svm_rbf,0.1,0.97257399559021,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_335,0.8789629865014015,all,-100,0,-100,none,auto,svm_rbf,0.1,0.9625310897827148,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_445,0.65411278225745,all,-100,0,-100,none,scale,svm_rbf,1,0.9872488975524902,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_335,0.8661793248193104,all,-100,0,-100,none,auto,svm_rbf,1,0.9632449150085449,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_445,0.7607285169601241,all,-100,0,-100,none,scale,svm_rbf,10,0.9618518352508545,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_424,0.8760841556020393,all,-100,0,-100,none,auto,svm_rbf,10,0.9719398021697998,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_445,0.7763469010440263,all,-100,0,-100,none,scale,svm_rbf,100,0.9642908573150635,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_424,0.8744657490246202,all,-100,0,-100,none,auto,svm_rbf,100,0.965980052947998,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_445,0.7720021094211811,all,-100,0,-100,none,scale,svm_rbf,1000,0.9643449783325195,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,457,WH_C_445,22,WH_C_424,0.8761815433502548,all,-100,0,-100,none,auto,svm_rbf,1000,1.0363950729370117,False
esp_32_209,549,WH_C_457,27,WH_C_457,0.7345957538068562,all,-100,0,-100,none,scale,svm_rbf,0.001,0.9780588150024414,True
esp_32_209,549,WH_C_457,27,WH_C_457,0.736393521758544,all,-100,0,-100,none,auto,svm_rbf,0.001,0.9633889198303223,True
esp_32_209,549,WH_C_457,27,WH_C_457,0.763295395382505,all,-100,0,-100,none,scale,svm_rbf,0.01,0.9761590957641602,True
esp_32_209,549,WH_C_457,27,WH_C_457,0.7658042301291527,all,-100,0,-100,none,auto,svm_rbf,0.01,0.9568190574645996,True
esp_32_209,549,WH_C_457,27,WH_C_457,0.6208299060559495,all,-100,0,-100,none,scale,svm_rbf,0.1,0.9561729431152344,True
esp_32_209,549,WH_C_457,27,WH_C_458,0.7894742665063303,all,-100,0,-100,none,auto,svm_rbf,0.1,0.9620099067687988,False
esp_32_209,549,WH_C_457,27,WH_C_457,0.47217642212035715,all,-100,0,-100,none,scale,svm_rbf,1,0.9535000324249268,True
esp_32_209,549,WH_C_457,27,WH_C_457,0.7177543796968844,all,-100,0,-100,none,auto,svm_rbf,1,0.9558467864990234,True
