device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,max_depth,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.5029326923076922,-1,all,-100,0,-100,none,9,random_forest,800,1.3106458187103271,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.5009259259259259,-1,all,-100,0,-100,none,9,random_forest,900,1.342029094696045,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.5303333333333333,-1,all,-100,0,-100,none,9,random_forest,1000,1.374541997909546,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.9,-1,all,-100,0,-100,none,9,random_forest,10,1.008479118347168,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.8,-1,all,-100,0,-100,none,9,random_forest,20,0.9864351749420166,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.7333333333333333,-1,all,-100,0,-100,none,9,random_forest,30,0.9677019119262695,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.825,-1,all,-100,0,-100,none,9,random_forest,40,0.9964218139648438,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.84,-1,all,-100,0,-100,none,9,random_forest,50,1.0072119235992432,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.8166666666666667,-1,all,-100,0,-100,none,9,random_forest,60,1.0103440284729004,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.7857142857142857,-1,all,-100,0,-100,none,9,random_forest,70,1.0215349197387695,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.825,-1,all,-100,0,-100,none,9,random_forest,80,0.9922418594360352,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.9111111111111111,-1,all,-100,0,-100,none,9,random_forest,90,1.0047450065612793,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.88,-1,all,-100,0,-100,none,9,random_forest,100,1.0257248878479004,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.845,-1,all,-100,0,-100,none,9,random_forest,200,1.0405950546264648,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.8266666666666667,-1,all,-100,0,-100,none,9,random_forest,300,1.0844130516052246,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.8275,-1,all,-100,0,-100,none,9,random_forest,400,1.1267778873443604,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.854,-1,all,-100,0,-100,none,9,random_forest,500,1.189666986465454,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.84,-1,all,-100,0,-100,none,9,random_forest,600,1.2596230506896973,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.8342857142857143,-1,all,-100,0,-100,none,9,random_forest,700,1.2889490127563477,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.845,-1,all,-100,0,-100,none,9,random_forest,800,1.347247838973999,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.8377777777777777,-1,all,-100,0,-100,none,9,random_forest,900,1.4332196712493896,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,154,WH_C_354,8,WH_C_355,0.858,-1,all,-100,0,-100,none,9,random_forest,1000,1.6252031326293945,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,564,WH_C_458,28,WH_C_402,0.3,-1,all,-100,0,-100,none,9,random_forest,10,0.9851119518280029,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,564,WH_C_458,28,WH_C_458,0.35,-1,all,-100,0,-100,none,9,random_forest,20,0.9504339694976807,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,564,WH_C_458,28,WH_C_457,0.26666666666666666,-1,all,-100,0,-100,none,9,random_forest,30,0.9604969024658203,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,564,WH_C_458,28,WH_C_458,0.375,-1,all,-100,0,-100,none,9,random_forest,40,0.953685998916626,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,564,WH_C_458,28,WH_C_458,0.42,-1,all,-100,0,-100,none,9,random_forest,50,0.9615678787231445,True
