device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,value_scaling_strategy,algorithm,algorithm_value,duration,correct
esp_32_205,171,WH_C_355,9,WH_C_355,0.0226155358898721,eduroam,-100,0.25,none,knn_sorensen,7.0,0.9657659530639648,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.0226155358898721,eduroam,-100,0.25,none,knn_sorensen,9.0,0.96122407913208,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.5371424328922301,eduroam,-100,0.25,none,svm_linear,0.001,0.974268913269043,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.5335285272917683,eduroam,-100,0.25,none,svm_linear,0.005,0.982802152633667,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.5130547684513934,eduroam,-100,0.25,none,svm_linear,0.01,0.982374906539917,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.6385085887922,eduroam,-100,0.25,none,svm_rbf,5.0,0.9731547832489014,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.7054270086656246,eduroam,-100,0.25,none,svm_rbf,1.0,0.975304365158081,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.6499921301405799,eduroam,-100,0.25,none,svm_rbf,0.5,0.9765408039093018,True
esp_32_205,171,WH_C_355,9,WH_C_355,10.246950765959598,eduroam,-100,0.5,none,knn_euclidean,5.0,0.9610366821289062,True
esp_32_205,171,WH_C_355,9,WH_C_355,10.246950765959598,eduroam,-100,0.5,none,knn_euclidean,7.0,0.9936721324920654,True
esp_32_205,171,WH_C_355,9,WH_C_355,10.246950765959598,eduroam,-100,0.5,none,knn_euclidean,9.0,0.9684567451477052,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.0226155358898721,eduroam,-100,0.5,none,knn_sorensen,5.0,0.975193977355957,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.0226155358898721,eduroam,-100,0.5,none,knn_sorensen,7.0,0.9642560482025146,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.0226155358898721,eduroam,-100,0.5,none,knn_sorensen,9.0,1.0089111328125,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.4771313737648829,eduroam,-100,0.5,none,svm_linear,0.001,1.009310007095337,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.5366362508817724,eduroam,-100,0.5,none,svm_linear,0.005,1.002373218536377,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.5361916264719802,eduroam,-100,0.5,none,svm_linear,0.01,1.0086591243743896,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.6415130174076242,eduroam,-100,0.5,none,svm_rbf,5.0,1.0786759853363037,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.6338289609588174,eduroam,-100,0.5,none,svm_rbf,1.0,1.0072388648986816,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.7058629915859365,eduroam,-100,0.5,none,svm_rbf,0.5,1.035027265548706,True
esp_32_205,171,WH_C_355,9,WH_C_355,10.246950765959598,eduroam,-100,0.75,none,knn_euclidean,5.0,1.084115743637085,True
esp_32_205,171,WH_C_355,9,WH_C_355,10.246950765959598,eduroam,-100,0.75,none,knn_euclidean,7.0,1.0524020195007324,True
esp_32_205,171,WH_C_355,9,WH_C_355,10.246950765959598,eduroam,-100,0.75,none,knn_euclidean,9.0,1.0126991271972656,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.0226155358898721,eduroam,-100,0.75,none,knn_sorensen,5.0,0.9903569221496582,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.0226155358898721,eduroam,-100,0.75,none,knn_sorensen,7.0,0.973747968673706,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.0226155358898721,eduroam,-100,0.75,none,knn_sorensen,9.0,1.0130181312561035,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.3053201874550008,eduroam,-100,0.75,none,svm_linear,0.001,0.993577003479004,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.3113406009271785,eduroam,-100,0.75,none,svm_linear,0.005,1.0025861263275146,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.2999191209170363,eduroam,-100,0.75,none,svm_linear,0.01,1.0086002349853516,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.5679993869757138,eduroam,-100,0.75,none,svm_rbf,5.0,0.99761700630188,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.5627559070633751,eduroam,-100,0.75,none,svm_rbf,1.0,1.0072007179260254,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.5757231188620482,eduroam,-100,0.75,none,svm_rbf,0.5,1.0060689449310305,True
esp_32_300,176,WH_C_355,9,WH_C_355,29.27456233660889,eduroam,-100,0.0,none,knn_euclidean,5.0,1.0074679851531982,True
esp_32_300,176,WH_C_355,9,WH_C_354,29.27456233660889,eduroam,-100,0.0,none,knn_euclidean,7.0,0.989943027496338,False
